Algorithm;Alpha;Number_scenarios;goal;taken_time;violation_probability;expected_duration;is_feasible
Heuristic;1,00E-05;1;37;60.339;0.0;116.696;True
Heuristic;1,00E-05;2;32;29.326;0.0;87.68;False
Heuristic;1,00E-05;3;32;30.938;0.001;87.68;False
Heuristic;1,00E-05;4;32;33.293;0.0;84.67;False
Heuristic;1,00E-05;5;32;32.904;0.001;87.68;False
Heuristic;1,00E-05;6;32;34.213;0.002;87.68;False
Heuristic;1,00E-05;7;32;39.347;0.001;86.17;False
Heuristic;1,00E-05;8;32;36.986;0.002;87.68;False
Heuristic;0.05;1;37;59.795;0.0;116.696;True
Heuristic;0.05;2;36;42.015;0.05;102.169;False
Heuristic;0.05;3;36;43.586;0.053;102.169;False
Heuristic;0.05;4;36;44.286;0.058;102.169;False
Heuristic;0.05;5;36;46.128;0.062;102.169;False
Heuristic;0.05;6;35;55.846;0.024;97.669;False
Heuristic;0.05;7;36;49.684;0.066;102.169;False
Heuristic;0.05;8;36;50.117;0.068;102.169;False
DA;0;1;40.0;3.327000141143799;0;118.35794638445152;1
DA;0;2;30.999999999999993;8.047000169754028;0;63.11271278005038;1
DA;0;3;30.000000000000004;51.08999991416931;0;58.14072201171195;1
DA;0;4;28.00000000000001;589.4930000305176;0;55.734865230719706;1
DA;0;5;28.0;2892.4939999580383;0;51.366361187669455;1
